Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,
180,LP001616,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y
181,LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
182,LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N
183,LP001634,Male,No,0,Graduate,No,1916,5063,67,360,,Rural,N
184,LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
185,LP001637,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N
186,LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y
187,LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y
188,LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N
189,LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,Y
190,LP001644,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y
191,LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
192,LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
193,LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
194,LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
195,LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
196,LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y
197,LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
198,LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
199,LP001669,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y
200,LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y
201,LP001673,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
202,LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
203,LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y
204,LP001682,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,N
205,LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
206,LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
207,LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y
208,LP001693,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y
209,LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
210,LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
211,LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
212,LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N
213,LP001711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N
214,LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y
215,LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y
216,LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
217,LP001720,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y
218,LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
219,LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
220,LP001732,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N
221,LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,Y
222,LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
223,LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
224,LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
225,LP001749,Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,Y
226,LP001750,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y
227,LP001751,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N
228,LP001754,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,N
229,LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y
230,LP001760,Male,,,Graduate,No,4758,0,158,480,1,Semiurban,Y
231,LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y
232,LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y
233,LP001768,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y
234,LP001770,Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,Y
235,LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y
236,LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y
237,LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y
238,LP001786,Male,Yes,0,Graduate,,5746,0,255,360,,Urban,N
239,LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,Y
240,LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
241,LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
242,LP001798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y
243,LP001800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N
244,LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y
245,LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y
246,LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
247,LP001813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,N
248,LP001814,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y
249,LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y
250,LP001824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y
251,LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y
252,LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,N
253,LP001836,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N
254,LP001841,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Y
255,LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y
256,LP001844,Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,N
257,LP001846,Female,No,3+,Graduate,No,3083,0,255,360,1,Rural,Y
258,LP001849,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N
259,LP001854,Male,Yes,3+,Graduate,No,5250,0,94,360,1,Urban,N
260,LP001859,Male,Yes,0,Graduate,No,14683,2100,304,360,1,Rural,N
261,LP001864,Male,Yes,3+,Not Graduate,No,4931,0,128,360,,Semiurban,N
262,LP001865,Male,Yes,1,Graduate,No,6083,4250,330,360,,Urban,Y
263,LP001868,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y
264,LP001870,Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,N
265,LP001871,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Y
266,LP001872,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y
267,LP001875,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Y
268,LP001877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Y
269,LP001882,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,Urban,Y
270,LP001883,Female,No,0,Graduate,,3418,0,135,360,1,Rural,N
271,LP001884,Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,Y
272,LP001888,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y
273,LP001891,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,Y
274,LP001892,Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,Y
275,LP001894,Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,Y
276,LP001896,Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,Y
277,LP001900,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Y
278,LP001903,Male,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,Y
279,LP001904,Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,Y
280,LP001907,Male,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,Y
281,LP001908,Female,Yes,0,Not Graduate,No,4100,0,124,360,,Rural,Y
282,LP001910,Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,Urban,N
283,LP001914,Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,Y
284,LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
285,LP001917,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,Y
286,LP001922,Male,Yes,0,Graduate,No,20667,0,,360,1,Rural,N
287,LP001924,Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,Y
288,LP001925,Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,N
289,LP001926,Male,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,Y
290,LP001931,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Y
291,LP001935,Male,No,0,Graduate,No,9508,0,187,360,1,Rural,Y
292,LP001936,Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,Y
293,LP001938,Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,N
294,LP001940,Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,Y
295,LP001945,Female,No,,Graduate,No,5417,0,143,480,0,Urban,N
296,LP001947,Male,Yes,0,Graduate,No,2383,3334,172,360,1,Semiurban,Y
297,LP001949,Male,Yes,3+,Graduate,,4416,1250,110,360,1,Urban,Y
298,LP001953,Male,Yes,1,Graduate,No,6875,0,200,360,1,Semiurban,Y
299,LP001954,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Y
300,LP001955,Female,No,0,Graduate,No,5000,2541,151,480,1,Rural,N
301,LP001963,Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,N
302,LP001964,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,N
303,LP001972,Male,Yes,,Not Graduate,No,2875,1750,105,360,1,Semiurban,Y
304,LP001974,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Y
305,LP001977,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,Y
306,LP001978,Male,No,0,Graduate,No,4000,2500,140,360,1,Rural,Y
307,LP001990,Male,No,0,Not Graduate,No,2000,0,,360,1,Urban,N
308,LP001993,Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,Y
309,LP001994,Female,No,0,Graduate,No,2400,1863,104,360,0,Urban,N
310,LP001996,Male,No,0,Graduate,No,20233,0,480,360,1,Rural,N
311,LP001998,Male,Yes,2,Not Graduate,No,7667,0,185,360,,Rural,Y
312,LP002002,Female,No,0,Graduate,No,2917,0,84,360,1,Semiurban,Y
313,LP002004,Male,No,0,Not Graduate,No,2927,2405,111,360,1,Semiurban,Y
314,LP002006,Female,No,0,Graduate,No,2507,0,56,360,1,Rural,Y
315,LP002008,Male,Yes,2,Graduate,Yes,5746,0,144,84,,Rural,Y
316,LP002024,,Yes,0,Graduate,No,2473,1843,159,360,1,Rural,N
317,LP002031,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,Y
318,LP002035,Male,Yes,2,Graduate,No,3717,0,120,360,1,Semiurban,Y
319,LP002036,Male,Yes,0,Graduate,No,2058,2134,88,360,,Urban,Y
320,LP002043,Female,No,1,Graduate,No,3541,0,112,360,,Semiurban,Y
321,LP002050,Male,Yes,1,Graduate,Yes,10000,0,155,360,1,Rural,N
322,LP002051,Male,Yes,0,Graduate,No,2400,2167,115,360,1,Semiurban,Y
323,LP002053,Male,Yes,3+,Graduate,No,4342,189,124,360,1,Semiurban,Y
324,LP002054,Male,Yes,2,Not Graduate,No,3601,1590,,360,1,Rural,Y
325,LP002055,Female,No,0,Graduate,No,3166,2985,132,360,,Rural,Y
326,LP002065,Male,Yes,3+,Graduate,No,15000,0,300,360,1,Rural,Y
327,LP002067,Male,Yes,1,Graduate,Yes,8666,4983,376,360,0,Rural,N
328,LP002068,Male,No,0,Graduate,No,4917,0,130,360,0,Rural,Y
,,,,,,,,,,,,,
